"Overall","par","IT","Analysis"
33.3206439141323,"Correlation","Dsg3","Original"
100,"Entropy","Dsg3","Original"
0,"Contrast","Dsg3","Original"
0.247841847767526,"Homogeneity","Dsg3","Original"
7.59996765943312,"Energy","Dsg3","Original"
16.7887766362583,"Mean","Dsg3","Original"
39.3721688866422,"Std","Dsg3","Original"
35.1596077015282,"Correlation","Dsg3","-2ug/ml"
100,"Entropy","Dsg3","-2ug/ml"
1.63365482553948,"Contrast","Dsg3","-2ug/ml"
0,"Homogeneity","Dsg3","-2ug/ml"
12.9697548656494,"Energy","Dsg3","-2ug/ml"
28.3257401801766,"Mean","Dsg3","-2ug/ml"
78.7935896775063,"Std","Dsg3","-2ug/ml"
22.1040858717654,"Correlation","Dsg3","-10ug/ml"
100,"Entropy","Dsg3","-10ug/ml"
0,"Contrast","Dsg3","-10ug/ml"
0.627656368305347,"Homogeneity","Dsg3","-10ug/ml"
5.73005599022809,"Energy","Dsg3","-10ug/ml"
20.3400565596457,"Mean","Dsg3","-10ug/ml"
43.8332511767261,"Std","Dsg3","-10ug/ml"
