,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
1,Control,Dsg3,40X Dsg3 C - 01.tif,zone 1,NA,NA,0.901026150392817,0.638960629584039,0.105912390664261,0.704664035253934,3.99145350911487,0.137605968587688,0.332182395488008,0.970164110643417
2,Control,Dsg3,40X Dsg3 C - 01.tif,zone 2,NA,NA,1.10367996122845,0.53653378206956,0.0981119845429402,0.67703555609,3.66118729157475,0.132467178329623,0.332301540564454,0.974602567802568
3,Control,Dsg3,40X Dsg3 C - 01.tif,zone 3,NA,NA,0.971272064075095,0.633406182350614,0.093399440683899,0.69486016886032,3.94744969356977,0.140976160127892,0.338455952705891,0.972577691006723
4,Control,Dsg3,40X Dsg3 C - 01.tif,zone 4,NA,NA,0.974033231302928,0.616048179296546,0.101612953974887,0.696136658601406,3.83432533338704,0.13730043707086,0.313531066038687,0.980325468794981
5,Control,Dsg3,40X Dsg3 C - 02.tif,zone 1,NA,NA,0.943139781654933,0.617141101537801,0.100911609621067,0.699448747746829,3.93166827457103,0.136120034653112,0.332704560227809,0.967519138893408
6,Control,Dsg3,40X Dsg3 C - 02.tif,zone 2,NA,NA,1.0965214876033,0.545751595982169,0.0898017305132623,0.675920486539274,3.80727775711557,0.13235342678602,0.357941393686298,0.963966990753069
7,Control,Dsg3,40X Dsg3 C - 02.tif,zone 3,NA,NA,1.03497943067034,0.580323647773142,0.0989960140287539,0.686203695516978,3.78024874022164,0.13368200026187,0.327172768806373,0.973111184919136
8,Control,Dsg3,40X Dsg3 C - 02.tif,zone 4,NA,NA,0.986383379247016,0.612584122202897,0.0917154779688185,0.690627440397238,3.97409324751247,0.136118609306928,0.350759731196534,0.969736604663737
9,Control,Dsg3,40X Dsg3 C - 03.tif,zone 1,NA,NA,1.14747583920008,0.522127427103155,0.0996218255631887,0.676302118661361,3.68642638826336,0.132696568524699,0.344587034042631,0.970884195566047
10,Control,Dsg3,40X Dsg3 C - 03.tif,zone 2,NA,NA,0.975770105091317,0.626068787800724,0.0978372160883689,0.694792485630718,3.89720228112871,0.141165261602972,0.330365943943948,0.973999458523978
